Quadro,Minuto_Jogo,Momento_Jogo,Setor,Numero_Camisa,Posicao_Tatica,Coordenada_X,Coordenada_Y,Zona_Corredor,Acao_Executada,Tipo_Pressao_Adversa,Val_Resultado,Erro_Cometido,Motivo_Erro,Velocidade_KmH
1,3:12,Organizacao Ofensiva,Defesa,4,Zagueiro Central,998.56,542.39,Corredor Central,Passe Curto de Seguranca,Passivo,Positivo,Nenhum,Construcao limpa sem pressao adversaria,12.4
2,4:45,Organizacao Ofensiva,Meio-Campo,5,Volante,1739.83,512.17,Corredor Central,Linha de Passe Oculta,Media,Positivo,Nenhum,Boa ocupacao de espaco entrelinhas,14.8
3,5:10,Organizacao Ofensiva,Ataque,10,Meia-Atacante,1659.25,493.83,Corredor Central,Recepcao Orientada entre Linhas,Pressao Intensa,Positivo,Nenhum,Excelente quebra da primeira linha defensiva,18.5
4,6:20,Organizacao Ofensiva,Ataque,9,Centroavante,636.93,513.55,Corredor Central,Desmarcacao em Ruptura,Em Dobra,Positivo,Nenhum,Movimento de arrastamento dos centrais contrarios,22.1
5,8:15,Organizacao Ofensiva,Defesa,4,Zagueiro Central,995.69,551.80,Corredor Direito,Conducao Progressiva,Passivo,Positivo,Nenhum,Espaco concedido pela passividade da linha pressora,13.2
6,9:30,Organizacao Ofensiva,Meio-Campo,5,Volante,1739.44,512.18,Corredor Central,Apoio Frontal,Media,Positivo,Nenhum,Linha de apoio curta garantida,15.1
7,11:05,Organizacao Ofensiva,Ataque,10,Meia-Atacante,1657.73,494.55,Corredor Central,Passe Tensionsado de Rotura,Pressao Intensa,Positivo,Nenhum,Visao de jogo privilegiada no ultimo terço,19.4
8,12:40,Organizacao Ofensiva,Ataque,9,Centroavante,636.56,512.59,Corredor Esquerdo,Arrancada em diagonal,Em Dobra,Positivo,Nenhum,Ataque fulcramento ao espaco cego do central,24.3
9,14:22,Transicao Ofensiva,Meio-Campo,8,Segundo Volante,591.69,441.41,Corredor Central,Recuperacao de Bola,Passivo,Positivo,Nenhum,Leitura correta da linha de passe lateral,21.5
10,15:01,Transicao Ofensiva,Meio-Campo,10,Meia-Atacante,1657.44,494.67,Corredor Central,Giro Rapido Pos-Recuperacao,Pressao Intensa,Positivo,Nenhum,Transicao vertical imediata apos roubo de bola,23.2
11,17:18,Organizacao Ofensiva,Ataque,7,Ponta Direita,998.81,525.80,Flanco Direito,Alargamento de Largura,Media,Positivo,Nenhum,Fixacao correta do lateral esquerdo adversario,16.8
12,19:50,Organizacao Ofensiva,Defesa,3,Zagueiro Esquerdo,630.89,504.99,Corredor Central,Inversao de Jogo em Diagonal,Passivo,Positivo,Nenhum,Boa capacidade de mudanca de flanco,11.5
13,21:12,Organizacao Ofensiva,Ataque,10,Meia-Atacante,1656.28,495.16,Corredor Central,Controlo Orientado Sob Pressao,Pressao Intensa,Positivo,Nenhum,Protecao corporal eficaz da bola,17.9
14,23:05,Organizacao Ofensiva,Ataque,11,Ponta Esquerda,996.35,527.40,Flanco Esquerdo,Diagonal Interior de Linha,Media,Positivo,Nenhum,Entrada por dentro para abrir corredor ao lateral,20.2
15,25:40,Organizacao Defensiva,Defesa,2,Lateral Direito,1736.31,513.30,Flanco Direito,Fechamento de Linha de Passagem,Pressao Intensa,Positivo,Nenhum,Boa basculacao para o lado da bola,19.8
16,27:15,Organizacao Defensiva,Defesa,6,Lateral Esquerdo,351.57,463.57,Flanco Esquerdo,Cobertura Defensiva Lateral,Media,Positivo,Nenhum,Fecho de diagonal por dentro,18.2
17,29:10,Organizacao Defensiva,Meio-Campo,8,Segundo Volante,591.99,429.76,Corredor Central,Duelo Aereo Vencido,Em Dobra,Positivo,Nenhum,Impulsao superior no meio-campo,21.0
18,31:02,Organizacao Defensiva,Meio-Campo,5,Volante,616.22,501.76,Corredor Central,Compactacao Setorial (Reducao de Espaco),Media,Positivo,Nenhum,Encurtamento correto entre linhas,16.4
19,33:45,Organizacao Defensiva,Ataque,10,Meia-Atacante,990.31,525.19,Corredor Central,Pressao Reativa Pos-Perda,Pressao Intensa,Negativo,Sim,Atraso de 1 segundo no gatilho permitiu o primeiro passe limpo,23.8
20,35:12,Transicao Defensiva,Defesa,4,Zagueiro Central,1649.33,494.28,Corredor Central,Retirada de Espaco nas Costas,Passivo,Positivo,Nenhum,Leitura excelente da profundidade em sprint,25.1
21,37:50,Transicao Defensiva,Meio-Campo,8,Segundo Volante,594.95,421.06,Corredor Central,Falta Tatica de Interrupcao,Pressao Intensa,Neutro,Sim,Abordagem precipitada obrigou a falta de paragem por quebra de bloco,26.4
22,39:20,Bolas Paradas,Defesa,4,Zagueiro Central,980.94,530.88,Area Defensiva,Marcacao Individual Estrita,Em Dobra,Positivo,Nenhum,Contato fisico firme no oponente direto,15.6
23,39:55,Bolas Paradas,Defesa,5,Volante,994.69,520.26,Area Defensiva,Rebote de Primeira Zona,Pressao Intensa,Positivo,Nenhum,Varredura limpa da zona frontal da area,17.1
24,41:30,Organizacao Ofensiva,Meio-Campo,10,Meia-Atacante,1646.30,493.57,Corredor Central,Passe Chave Filtrante,Pressao Intensa,Positivo,Nenhum,Passe vertical cirurgico entre dois oponentes,19.2
25,43:10,Organizacao Ofensiva,Ataque,9,Centroavante,606.90,499.73,Zona de Finalizacao,Finta Coordenada,Em Dobra,Positivo,Nenhum,Desequilibrio do marcador direto na area,23.5
26,44:20,Organizacao Ofensiva,Ataque,7,Ponta Direita,977.81,532.22,Flanco Direito,Cruzamento Tensor na Area,Passivo,Positivo,Nenhum,Bola colocada na zona de confissao do guarda-redes,24.1
27,45:15,Organizacao Ofensiva,Ataque,11,Ponta Esquerda,998.09,502.89,Flanco Esquerdo,Ataque ao Segundo Poste,Media,Positivo,Nenhum,Carga rapida nas costas do lateral direito,26.8
28,47:30,Organizacao Ofensiva,Defesa,1,Goleiro,1644.68,495.73,Area Defensiva,Reposicao com Pe Curta,Passivo,Positivo,Nenhum,Saida controlada sem pressao forte,8.2
29,49:10,Organizacao Ofensiva,Meio-Campo,5,Volante,596.09,499.80,Corredor Central,Linha de Apoio Direta,Passivo,Positivo,Nenhum,Posicionamento de linha de passe de seguranca,14.5
30,51:22,Organizacao Ofensiva,Meio-Campo,8,Segundo Volante,796.77,513.95,Corredor Central,Mudanca de Ritmo de Jogo,Media,Positivo,Nenhum,Aceleracao rapida da circulacao de bola,21.8
31,53:40,Organizacao Ofensiva,Ataque,10,Meia-Atacante,1641.32,495.48,Zona de Finalizacao,Finalizacao de Media Distancia,Pressao Intensa,Negativo,Sim,Enquadramento corporal desajustado no momento do remate,27.5
32,55:10,Organizacao Defensiva,Meio-Campo,5,Volante,584.95,496.43,Corredor Central,Temporizacao Ofensiva do Adversario,Media,Negativo,Sim,Demora na dobra lateral abriu espaco interior,15.3
33,57:25,Organizacao Defensiva,Defesa,2,Lateral Direito,1703.63,512.83,Flanco Direito,Desarme Rasteiro Lateral,Pressao Intensa,Negativo,Sim,Abordagem em falso no 1v1 permitiu o drible exterior,20.4
34,59:12,Transicao Ofensiva,Meio-Campo,10,Meia-Atacante,1601.43,512.69,Corredor Central,Conducao em Transicao Rapida,Passivo,Positivo,Nenhum,Exploracao perfeita do corredor central livre,28.2
35,61:05,Organizacao Ofensiva,Ataque,9,Centroavante,579.01,499.42,Corredor Central,Protecao de Bola de Costa,Em Dobra,Positivo,Nenhum,Uso correto do braco para manter o central a distancia,17.6
36,63:40,Organizacao Ofensiva,Ataque,7,Ponta Direita,947.99,552.72,Flanco Direito,Desmarcacao de Rotura em Extensao,Pressao Intensa,Positivo,Nenhum,Gatilho ativado no momento exato do passe,24.9
37,65:20,Organizacao Ofensiva,Meio-Campo,8,Segundo Volante,824.95,523.94,Corredor Central,Linha de Passe Intermedia,Passivo,Positivo,Nenhum,Linha de passe estabilizada no centro,16.2
38,67:15,Organizacao Ofensiva,Ataque,11,Ponta Esquerda,940.63,551.94,Zona de Finalizacao,Diagonal de Remate Cruzado,Pressao Intensa,Negativo,Sim,Excesso de força no remate perdeu o Alvo,26.1
39,69:30,Organizacao Defensiva,Defesa,3,Zagueiro Esquerdo,939.02,552.03,Area Defensiva,Bloqueio de Remate Direto,Pressao Intensa,Positivo,Nenhum,Corpo alinhado na trajetoria da bola,18.9
40,71:10,Transicao Defensiva,Meio-Campo,5,Volante,935.33,552.97,Bloco Baixo,Retirada de Linha Defensiva,Pressao Intensa,Negativo,Sim,Atraso no rechaço defensivo gerou segunda bola ao adversario,20.1
41,73:00,Bolas Paradas,Ataque,4,Zagueiro Central,930.88,553.47,Area Ofensiva,Cabeca em Zona de Oportunidade,Em Dobra,Positivo,Nenhum,Ganho aereo no primeiro poste com sucesso,21.4
42,75:22,Organizacao Ofensiva,Meio-Campo,10,Meia-Atacante,927.92,554.72,Corredor Central,Passe de Seguranca Lateral,Passivo,Positivo,Nenhum,Circular a posse para estancar o ritmo oponente,12.8
43,77:40,Organizacao Ofensiva,Defesa,2,Lateral Direito,1677.77,511.42,Flanco Direito,Apoio Profundo pelo Corredor,Media,Negativo,Sim,Má temporização na subida deixou o corredor vulneravel,17.5
44,79:10,Organizacao Ofensiva,Meio-Campo,8,Segundo Volante,839.75,523.77,Corredor Central,Mudanca de Orientacao Tectica,Passivo,Positivo,Nenhum,Inversao limpa para o lado fraco,19.8
45,81:05,Organizacao Ofensiva,Ataque,9,Centroavante,1670.77,512.19,Zona de Finalizacao,Finta de Corpo com Desmarcacao,Pressao Intensa,Positivo,Nenhum,Desorientacao completa do marcador central,23.4
46,83:20,Organizacao Ofensiva,Meio-Campo,10,Meia-Atacante,1668.10,512.33,Corredor Central,Passe in Profundidade Cirurgico,Pressao Intensa,Positivo,Nenhum,Encaixe perfeito no espaço entrelinhas,25.6
47,85:50,Organizacao Ofensiva,Ataque,7,Ponta Direita,919.57,553.55,Flanco Direito,Finta 1v1 na Linha de Fundo,Em Dobra,Negativo,Sim,Conducao excessiva para fora do campo sem cruzamento,24.2
48,88:10,Organizacao Defensiva,Meio-Campo,6,Lateral Esquerdo,913.65,553.65,Bloco Baixo,Duelo Terrestre Vencido,Pressao Intensa,Positivo,Nenhum,Fecho assertivo no momento da dobra lateral,22.1
Quadro,Minuto_Jogo,Momento_Jogo,Setor,Numero_Camisa,Nome_Atleta,Posicao_Tatica,Zona_Corredor,Acao_Executada,Erro_Cometido,Motivo_Erro,Velocidade_KmH,Player_Load
1,3:12,Organizacao Ofensiva,Defesa,4,Joao Silva,Zagueiro Central,Corredor Central,Passe Curto,Nenhum,Construcao limpa,12.4,1.2
2,4:45,Organizacao Ofensiva,Meio-Campo,5,Matheus Santos,Volante,Corredor Central,Linha de Passe,Nenhum,Boa ocupacao,14.8,2.1
